Date,Week,Month,Year,Marketing Year,Country,Commodity,Commodity Type,Marketing Year Start or End,Unit,Weekly Exports CMY,Accumulated Exports CMY,Outstanding Sales CMY,Gross Sales CMY,Net Sales CMY,Total Commitments CMY,Outstanding Sales NMY,Net Sales NMY,Marketing Month,"Net Sales, Total","Outstanding Sales, Total"
3/26/20,12,3,2020,2019,PERU,Wheat,SRW,,Metric Tons,0,143691,17610,500,500,161301,48590,0,10,500,66200
3/26/20,12,3,2020,2019,EUROPEAN UNION - 27,Soybeans,,,Metric Tons,0,4074656,4500,0,0,4079156,0,0,7,0,4500
3/26/20,12,3,2020,2019,EUROPEAN UNION - 27,Wheat,Durum,,Metric Tons,31,518619,87000,31,31,605619,60000,0,10,31,147000
3/26/20,12,3,2020,2019,EUROPEAN UNION - 27,Wheat,HRS,,Metric Tons,0,235238,27000,0,0,262238,0,0,10,0,27000
3/26/20,12,3,2020,2019,EUROPEAN UNION - 27,Wheat,White,,Metric Tons,0,100,0,0,0,100,0,0,10,0,0
3/26/20,12,3,2020,2019,FINLAND,Wheat,White,,Metric Tons,0,100,0,0,0,100,0,0,10,0,0
3/26/20,12,3,2020,2019,FRANCE,Soybeans,,,Metric Tons,0,75179,0,0,0,75179,0,0,7,0,0
3/26/20,12,3,2020,2019,FRENCH WEST INDIES,Corn,,,Metric Tons,0,0,14950,0,0,14950,0,0,7,0,14950
3/26/20,12,3,2020,2019,GERMANY,Soybeans,,,Metric Tons,0,851874,0,0,0,851874,0,0,7,0,0
3/26/20,12,3,2020,2019,GHANA,Wheat,HRW,,Metric Tons,0,18628,0,0,0,18628,0,0,10,0,0
3/26/20,12,3,2020,2019,GUATEMALA,Corn,,,Metric Tons,22711,564472,349837,12827,-5262,914309,10160,10160,7,4898,359997
3/26/20,12,3,2020,2019,GUATEMALA,Soybeans,,,Metric Tons,0,0,3000,0,0,3000,0,0,7,0,3000
3/26/20,12,3,2020,2019,GUATEMALA,Wheat,HRS,,Metric Tons,0,83905,60700,0,0,144605,0,0,10,0,60700
3/26/20,12,3,2020,2019,GUATEMALA,Wheat,HRW,,Metric Tons,0,216307,95149,0,-3700,311456,0,0,10,-3700,95149
3/26/20,12,3,2020,2019,GUATEMALA,Wheat,SRW,,Metric Tons,0,19153,2800,0,0,21953,0,0,10,0,2800
3/26/20,12,3,2020,2019,GUATEMALA,Wheat,White,,Metric Tons,0,99224,39800,0,-4700,139024,0,0,10,-4700,39800
3/26/20,12,3,2020,2019,GUYANA,Corn,,,Metric Tons,0,24269,0,0,0,24269,0,0,7,0,0
3/26/20,12,3,2020,2019,GUYANA,Wheat,HRS,,Metric Tons,0,19319,0,0,0,19319,0,0,10,0,0
3/26/20,12,3,2020,2019,GUYANA,Wheat,HRW,,Metric Tons,0,7190,0,0,0,7190,0,0,10,0,0
3/26/20,12,3,2020,2019,GUYANA,Wheat,SRW,,Metric Tons,0,350,0,0,0,350,0,0,10,0,0
3/26/20,12,3,2020,2019,HAITI,Corn,,,Metric Tons,0,13550,0,0,0,13550,0,0,7,0,0
3/26/20,12,3,2020,2019,HAITI,Wheat,HRS,,Metric Tons,0,3780,0,0,0,3780,0,0,10,0,0
3/26/20,12,3,2020,2019,HAITI,Wheat,HRW,,Metric Tons,0,99499,0,0,0,99499,0,0,10,0,0
3/26/20,12,3,2020,2019,HONDURAS,Corn,,,Metric Tons,18927,452474,193442,1800,1800,645916,0,0,7,1800,193442
3/26/20,12,3,2020,2019,HONDURAS,Soybeans,,,Metric Tons,0,6575,2920,0,0,9495,0,0,7,0,2920
3/26/20,12,3,2020,2019,HONDURAS,Wheat,HRS,,Metric Tons,13156,88469,12044,0,0,100513,22500,4500,10,4500,34544
3/26/20,12,3,2020,2019,HONDURAS,Wheat,HRW,,Metric Tons,6850,97056,30820,0,0,127876,3500,0,10,0,34320
3/26/20,12,3,2020,2019,HONDURAS,Wheat,SRW,,Metric Tons,0,64796,9500,0,0,74296,9000,0,10,0,18500
3/26/20,12,3,2020,2019,HONG KONG,Corn,,,Metric Tons,779,20035,702,146,146,20737,0,0,7,146,702
3/26/20,12,3,2020,2019,HONG KONG,Soybeans,,,Metric Tons,41,330,1135,0,0,1465,200,0,7,0,1335
3/26/20,12,3,2020,2019,HONG KONG,Wheat,White,,Metric Tons,265,3970,270,0,-5,4240,0,0,10,-5,270
3/26/20,12,3,2020,2019,INDONESIA,Corn,,,Metric Tons,0,18,0,0,0,18,0,0,7,0,0
3/26/20,12,3,2020,2019,INDONESIA,Soybeans,,,Metric Tons,86377,1258510,268509,31899,97847,1527019,0,0,7,97847,268509
3/26/20,12,3,2020,2019,INDONESIA,Wheat,HRS,,Metric Tons,42571,128267,40500,5142,-37429,168767,0,0,10,-37429,40500
3/26/20,12,3,2020,2019,INDONESIA,Wheat,HRW,,Metric Tons,31791,338228,17000,3582,-28209,355228,0,0,10,-28209,17000
3/26/20,12,3,2020,2019,INDONESIA,Wheat,SRW,,Metric Tons,0,2090,0,0,0,2090,0,0,10,0,0
3/26/20,12,3,2020,2019,INDONESIA,Wheat,White,,Metric Tons,0,377629,93000,0,0,470629,0,0,10,0,93000
3/26/20,12,3,2020,2019,IRAQ,Wheat,HRS,,Metric Tons,0,52166,0,0,0,52166,0,0,10,0,0
3/26/20,12,3,2020,2019,IRAQ,Wheat,HRW,,Metric Tons,0,210000,0,0,0,210000,0,0,10,0,0
3/26/20,12,3,2020,2019,IRELAND,Soybeans,,,Metric Tons,0,0,4500,0,0,4500,0,0,7,0,4500
3/26/20,12,3,2020,2019,ISRAEL,Corn,,,Metric Tons,0,19878,0,0,0,19878,0,0,7,0,0
3/26/20,12,3,2020,2019,ISRAEL,Soybeans,,,Metric Tons,0,104566,0,0,0,104566,0,0,7,0,0
3/26/20,12,3,2020,2019,ISRAEL,Wheat,HRW,,Metric Tons,0,100,0,0,0,100,0,0,10,0,0
3/26/20,12,3,2020,2019,ISRAEL,Wheat,White,,Metric Tons,0,100,0,0,0,100,0,0,10,0,0
3/26/20,12,3,2020,2019,ITALY,Corn,,,Metric Tons,0,33,0,0,0,33,0,0,7,0,0
3/26/20,12,3,2020,2019,ITALY,Soybeans,,,Metric Tons,0,227092,0,0,0,227092,0,0,7,0,0
3/26/20,12,3,2020,2019,ITALY,Wheat,Durum,,Metric Tons,31,478015,87000,31,31,565015,60000,0,10,31,147000
3/26/20,12,3,2020,2019,ITALY,Wheat,HRS,,Metric Tons,0,209968,27000,0,0,236968,0,0,10,0,27000
3/26/20,12,3,2020,2019,JAMAICA,Corn,,,Metric Tons,7245,137713,192900,3345,3345,330613,0,0,7,3345,192900
3/26/20,12,3,2020,2019,JAMAICA,Wheat,HRS,,Metric Tons,4523,78349,12500,0,4523,90849,0,0,10,4523,12500
3/26/20,12,3,2020,2019,JAMAICA,Wheat,HRW,,Metric Tons,8176,13676,2000,176,8176,15676,0,0,10,8176,2000
3/26/20,12,3,2020,2019,JAMAICA,Wheat,SRW,,Metric Tons,4842,65056,6000,142,4842,71056,0,0,10,4842,6000
3/26/20,12,3,2020,2019,JAPAN,Corn,,,Metric Tons,478738,4039999,2809243,272179,239023,6849242,462676,0,7,239023,3271919
3/26/20,12,3,2020,2019,JAPAN,Soybeans,,,Metric Tons,44164,1517214,485142,26693,37190,2002356,81128,1497,7,38687,566270
3/26/20,12,3,2020,2019,JAPAN,Wheat,Durum,,Metric Tons,124,5345,0,124,124,5345,0,0,10,124,0
3/26/20,12,3,2020,2019,JAPAN,Wheat,HRS,,Metric Tons,15245,742886,305001,0,0,1047887,20100,0,10,0,325101
3/26/20,12,3,2020,2019,JAPAN,Wheat,HRW,,Metric Tons,18948,731737,165955,3,3,897692,0,0,10,3,165955
3/26/20,12,3,2020,2019,JAPAN,Wheat,SRW,,Metric Tons,0,21397,0,0,0,21397,0,0,10,0,0
3/26/20,12,3,2020,2019,JAPAN,Wheat,White,,Metric Tons,0,586511,120039,0,0,706550,0,0,10,0,120039
3/26/20,12,3,2020,2019,JORDAN,Corn,,,Metric Tons,0,46,0,0,0,46,0,0,7,0,0
3/26/20,12,3,2020,2019,JORDAN,Soybeans,,,Metric Tons,0,1011,0,0,0,1011,0,0,7,0,0
3/26/20,12,3,2020,2019,"KOREA, REPUBLIC OF",Corn,,,Metric Tons,129535,341841,1066933,136800,136101,1408774,0,0,7,136101,1066933
