id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
429250,1/2/20,SOYBEANS,PHILIPPINES,INTERIOR,INTERIOR,220,486000
429251,1/2/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,147,324000
429252,1/2/20,WHEAT,HONDURAS,MISSISSIPPI R.,EAST GULF,6500,14330380
429253,1/2/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,49,108000
429254,1/2/20,SOYBEANS,ITALY,INTERIOR,INTERIOR,24,54000
429255,1/2/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,490,1080000
429256,1/2/20,SOYBEANS,INDONESIA,MISSISSIPPI R.,EAST GULF,71866,158437980
429257,1/2/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,23606,52041680
429258,1/2/20,SOYBEANS,EGYPT,MISSISSIPPI R.,EAST GULF,71199,156967190
429259,1/2/20,SOYBEANS,EGYPT,MISSISSIPPI R.,EAST GULF,57302,126328450
429260,1/2/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,42844,94453840
429261,1/2/20,SOYBEANS,ITALY,S. ATLANTIC,EAST COAST,32500,71649490
429262,1/2/20,CORN,CHINA T,INTERIOR,INTERIOR,465,1026000
429263,1/2/20,CORN,FRENCH POLY,INTERIOR,INTERIOR,245,540000
429264,1/2/20,WHEAT,PANAMA,MISSISSIPPI R.,EAST GULF,4567,10068840
429265,1/2/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,294,648000
429266,1/2/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,294,648000
429267,1/2/20,WHEAT,PANAMA,MISSISSIPPI R.,EAST GULF,12331,27186120
429268,1/2/20,WHEAT,PANAMA,MISSISSIPPI R.,EAST GULF,2100,4629020
429269,1/2/20,WHEAT,PANAMA,MISSISSIPPI R.,EAST GULF,6192,13650900
429270,1/2/20,CORN,PHILIPPINES,CALIFORNIA,WEST COAST,269,594000
429271,1/2/20,CORN,MEXICO,INTERIOR,INTERIOR,9979,22000000
429272,1/2/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,11576,25520000
429273,1/2/20,CORN,MEXICO,INTERIOR,INTERIOR,8482,18700000
429274,1/2/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,490,1080000
429275,1/2/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,294,648000
429276,1/2/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,196,432000
429277,1/2/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,73,162000
429278,1/2/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,416,918000
429279,1/2/20,SOYBEANS,BURMA,INTERIOR,INTERIOR,24,54000
429280,1/2/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
429281,1/2/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,416,918000
429282,1/2/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,98,216000
429283,1/2/20,CORN,MEXICO,INTERIOR,INTERIOR,11376,25080000
429284,1/2/20,WHEAT,MEXICO,INTERIOR,INTERIOR,10877,23980000
429285,1/2/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,20034,44167980
429286,1/2/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,15270,33664200
429287,1/2/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,5636,12425280
