_id,Month,Year,Region,Commodity,Tenklbs
ObjectId("5e8bacc58418f12a4f9e5bd2"),3,2020,Arizona,Lettuce, Red Leaf,4
ObjectId("5e8bacc58418f12a4f9e5bd3"),3,2020,Arizona,Lettuce, Romaine,208
ObjectId("5e8bacc58418f12a4f9e5bd4"),3,2020,Arizona,Misc Asian,0
ObjectId("5e8bacc58418f12a4f9e5bd5"),3,2020,Arizona,Parsley,2
ObjectId("5e8bacc58418f12a4f9e5bd6"),3,2020,Arizona,Radicchio,0
ObjectId("5e8bacc58418f12a4f9e5bd7"),3,2020,Arizona,Spinach,43
ObjectId("5e8bacc58418f12a4f9e5bd8"),3,2020,Arizona,Swiss Chard,0
ObjectId("5e8bacc58418f12a4f9e5bd9"),3,2020,Arizona,Misc Herbs,3
ObjectId("5e8bacc58418f12a4f9e5bda"),3,2020,Arizona,Misc Herbs,6
ObjectId("5e8bacc58418f12a4f9e5bdb"),3,2020,California,Carrots,314
ObjectId("5e8bacc58418f12a4f9e5bdc"),3,2020,California,Blackberries,0
ObjectId("5e8bacc58418f12a4f9e5bdd"),3,2020,California,Brussels Sprouts,2
ObjectId("5e8bacc58418f12a4f9e5bde"),3,2020,California,Celery,5
ObjectId("5e8bacc58418f12a4f9e5bdf"),3,2020,California,Onions Green,1
ObjectId("5e8bacc58418f12a4f9e5be0"),3,2020,California,Blackberries,0
ObjectId("5e8bacc58418f12a4f9e5be1"),3,2020,California,Brussels Sprouts,7
ObjectId("5e8bacc58418f12a4f9e5be2"),3,2020,California,Cabbage,10
ObjectId("5e8bacc58418f12a4f9e5be3"),3,2020,California,Celery,72
ObjectId("5e8bacc58418f12a4f9e5be4"),3,2020,California,Kale Greens,1
ObjectId("5e8bacc58418f12a4f9e5be5"),3,2020,California,Onions Green,0
ObjectId("5e8bacc58418f12a4f9e5be6"),3,2020,California,Artichokes,1
ObjectId("5e8bacc58418f12a4f9e5be7"),3,2020,California,Broccoli,18
ObjectId("5e8bacc58418f12a4f9e5be8"),3,2020,California,Brussels Sprouts,3
ObjectId("5e8bacc58418f12a4f9e5be9"),3,2020,California,Cabbage,2
ObjectId("5e8bacc58418f12a4f9e5bea"),3,2020,California,Cauliflower,3
