date,Month,Year,Region,Commodity,Tenklbs
3/31/2020,3,2020,Arizona,"Lettuce, Red Leaf",4
3/31/2020,3,2020,Arizona,"Lettuce, Romaine",208
3/31/2020,3,2020,Arizona,Misc Asian,0
3/31/2020,3,2020,Arizona,Parsley,2
3/31/2020,3,2020,Arizona,Radicchio,0
3/31/2020,3,2020,Arizona,Spinach,43
3/31/2020,3,2020,Arizona,Swiss Chard,0
3/31/2020,3,2020,Arizona,Misc Herbs,3
3/31/2020,3,2020,Arizona,Misc Herbs,6
3/31/2020,3,2020,California,Carrots,314
3/31/2020,3,2020,California,Blackberries,0
3/31/2020,3,2020,California,Brussels Sprouts,2
3/31/2020,3,2020,California,Celery,5
3/31/2020,3,2020,California,Onions Green,1
3/31/2020,3,2020,California,Blackberries,0
3/31/2020,3,2020,California,Brussels Sprouts,7
3/31/2020,3,2020,California,Cabbage,10
3/31/2020,3,2020,California,Celery,72
3/31/2020,3,2020,California,Kale Greens,1
3/31/2020,3,2020,California,Onions Green,0
3/31/2020,3,2020,California,Artichokes,1
3/31/2020,3,2020,California,Broccoli,18
3/31/2020,3,2020,California,Brussels Sprouts,3
3/31/2020,3,2020,California,Cabbage,2
3/31/2020,3,2020,California,Cauliflower,3
3/31/2020,3,2020,California,Celery,18
3/31/2020,3,2020,PNW,Onions Dry,82
3/31/2020,3,2020,PNW,Potatoes,25
3/31/2020,3,2020,PNW,Onions Dry,408
3/31/2020,3,2020,PNW,Potatoes,208
3/31/2020,3,2020,Texas,Beets,1
3/31/2020,3,2020,Texas,Cabbage,48
3/31/2020,3,2020,Texas,Collard Greens,1
3/31/2020,3,2020,Texas,Dandelion Greens,0
3/31/2020,3,2020,California,Kale Greens,1
3/31/2020,3,2020,California,"Lettuce, Green Leaf",2
3/31/2020,3,2020,California,"Lettuce, Iceberg",30
3/31/2020,3,2020,California,"Lettuce, Red Leaf",1
3/31/2020,3,2020,California,"Lettuce, Romaine",17
3/31/2020,3,2020,California,Artichokes,1
3/31/2020,3,2020,California,Broccoli,6
3/31/2020,3,2020,California,Brussels Sprouts,1
3/31/2020,3,2020,California,Cabbage,2
3/31/2020,3,2020,California,Cauliflower,22
3/31/2020,3,2020,California,Celery,12
3/31/2020,3,2020,California,Endive,0
3/31/2020,3,2020,California,Escarole,1
3/31/2020,3,2020,California,"Lettuce, Boston",0
3/31/2020,3,2020,California,"Lettuce, Green Leaf",3
3/31/2020,3,2020,California,"Lettuce, Red Leaf",2
3/31/2020,3,2020,California,"Lettuce, Romaine",27
3/31/2020,3,2020,California,Spinach,8
3/31/2020,3,2020,California,Artichokes,2
3/31/2020,3,2020,California,Brussels Sprouts,1
3/31/2020,3,2020,California,Cabbage,21
3/31/2020,3,2020,California,Celery,343
3/31/2020,3,2020,California,Chinese Cabbage,0
3/31/2020,3,2020,California,Endive,0
3/31/2020,3,2020,California,Escarole,0
3/31/2020,3,2020,California,Kale Greens,5
3/31/2020,3,2020,California,"Lettuce, Green Leaf",2
3/31/2020,3,2020,California,"Lettuce, Iceberg",8
3/31/2020,3,2020,California,"Lettuce, Red Leaf",2
3/31/2020,3,2020,California,"Lettuce, Romaine",11
3/31/2020,3,2020,California,Parsley,3
3/31/2020,3,2020,California,Radishes,15
3/31/2020,3,2020,California,Spinach,2
3/31/2020,3,2020,California,Strawberries,366
3/31/2020,3,2020,California,Broccoli,14
3/31/2020,3,2020,California,Blueberries,1
3/31/2020,3,2020,California,Endive,0
3/31/2020,3,2020,California,Escarole,0
3/31/2020,3,2020,California,"Lettuce, Boston",1
3/31/2020,3,2020,California,"Lettuce, Green Leaf",5
3/31/2020,3,2020,California,"Lettuce, Iceberg",287
3/31/2020,3,2020,California,"Lettuce, Red Leaf",2
3/31/2020,3,2020,California,"Lettuce, Romaine",69
3/31/2020,3,2020,California,Artichokes,13
3/31/2020,3,2020,California,Broccoli,83
3/31/2020,3,2020,California,Cauliflower,55
3/31/2020,3,2020,California,Escarole,0
3/31/2020,3,2020,California,"Lettuce, Boston",1
3/31/2020,3,2020,California,"Lettuce, Green Leaf",8
3/31/2020,3,2020,California,"Lettuce, Iceberg",29
3/31/2020,3,2020,California,"Lettuce, Red Leaf",3
3/31/2020,3,2020,California,"Lettuce, Romaine",175
3/31/2020,3,2020,California,Misc Asian,2
3/31/2020,3,2020,California,Misc Herbs,1
3/31/2020,3,2020,California,Spinach,1
3/31/2020,3,2020,California,Strawberries,11
3/31/2020,3,2020,California,Blueberries,1
3/31/2020,3,2020,California,Broccoli,55
3/31/2020,3,2020,California,Cauliflower,54
3/31/2020,3,2020,California,Chinese Cabbage,13
3/31/2020,3,2020,California,"Lettuce, Green Leaf",2
3/31/2020,3,2020,California,"Lettuce, Iceberg",53
3/31/2020,3,2020,California,"Lettuce, Red Leaf",1
3/31/2020,3,2020,California,"Lettuce, Romaine",37
3/31/2020,3,2020,California,Misc Asian,11
3/31/2020,3,2020,California,Misc Herbs,4
3/31/2020,3,2020,California,Parsley,3
3/31/2020,3,2020,California,Raspberries,0
3/31/2020,3,2020,California,Spinach,3
3/31/2020,3,2020,California,Strawberries,224
3/31/2020,3,2020,California,Blackberries,0
3/31/2020,3,2020,California,Blueberries,9
3/31/2020,3,2020,California,Misc Asian,0
3/31/2020,3,2020,California,Misc Herbs,12
3/31/2020,3,2020,California,Peas Green,0
3/31/2020,3,2020,California,Raspberries,17
3/31/2020,3,2020,Colorado,Potatoes,915
3/31/2020,3,2020,Florida,Beans,55
3/31/2020,3,2020,Florida,Cabbage,93
3/31/2020,3,2020,Florida,Celery,31
3/31/2020,3,2020,Florida,Chinese Cabbage,3
3/31/2020,3,2020,Florida,"Corn, Sweet",181
3/31/2020,3,2020,Florida,Cucumbers,62
3/31/2020,3,2020,Florida,Eggplant,16
3/31/2020,3,2020,Florida,Endive,3
3/31/2020,3,2020,Florida,Escarole,6
3/31/2020,3,2020,Florida,"Lettuce, Boston",0
3/31/2020,3,2020,Florida,"Lettuce, Iceberg",6
3/31/2020,3,2020,Florida,"Lettuce, Romaine",5
3/31/2020,3,2020,Florida,Misc Herbs,1
3/31/2020,3,2020,Florida,Parsley,0
3/31/2020,3,2020,Florida,"Peppers, Bell Type",98
3/31/2020,3,2020,Florida,"Peppers, Other",2
3/31/2020,3,2020,Florida,Radishes,10
3/31/2020,3,2020,Florida,Squash,33
3/31/2020,3,2020,Florida,Strawberries,24
3/31/2020,3,2020,Florida,Tomatoes,147
3/31/2020,3,2020,Florida,"Tomatoes, Cherry",2
3/31/2020,3,2020,Florida,"Tomatoes, Grape Type",22
3/31/2020,3,2020,Florida,"Tomatoes, Plum Type",51
3/31/2020,3,2020,Florida,Avocados,1
3/31/2020,3,2020,Florida,Blueberries,64
3/31/2020,3,2020,Florida,Potatoes,190
3/31/2020,3,2020,Florida,"Watermelons, Seedless",24
3/31/2020,3,2020,Great Lakes,Potatoes,73
3/31/2020,3,2020,Great Lakes,Potatoes,8
3/31/2020,3,2020,Great Lakes,Potatoes,269
3/31/2020,3,2020,Mexico-Arizona,Asparagus,4
3/31/2020,3,2020,Mexico-Arizona,Bananas,24
3/31/2020,3,2020,Mexico-Arizona,Beans,33
3/31/2020,3,2020,Mexico-Arizona,Blueberries,20
3/31/2020,3,2020,Mexico-Arizona,Broccoli,9
3/31/2020,3,2020,Mexico-Arizona,Brussels Sprouts,17
3/31/2020,3,2020,Mexico-Arizona,Cactus Leaf (nopales),3
3/31/2020,3,2020,Mexico-Arizona,Carrots,4
3/31/2020,3,2020,Mexico-Arizona,Cauliflower,1
3/31/2020,3,2020,Mexico-Arizona,"Corn, Sweet",76
3/31/2020,3,2020,Mexico-Arizona,Cucumbers,316
3/31/2020,3,2020,Mexico-Arizona,Edible Flowers,0
3/31/2020,3,2020,Mexico-Arizona,Eggplant,38
3/31/2020,3,2020,Mexico-Arizona,Grapefruit,6
3/31/2020,3,2020,Mexico-Arizona,Misc Asian,15
3/31/2020,3,2020,Mexico-Arizona,Misc Herbs,0
3/31/2020,3,2020,Mexico-Arizona,Misc Tropical,9
3/31/2020,3,2020,Mexico-Arizona,Oranges,16
3/31/2020,3,2020,Mexico-Arizona,"Peppers, Bell Type",171
3/31/2020,3,2020,Mexico-Arizona,"Peppers, Other",79
3/31/2020,3,2020,Mexico-Arizona,Radishes,0
3/31/2020,3,2020,Mexico-Arizona,Spinach,0
3/31/2020,3,2020,Mexico-Arizona,Squash,311
3/31/2020,3,2020,Mexico-Arizona,Tomatoes,77
3/31/2020,3,2020,Mexico-Arizona,"Tomatoes, Cherry",9
3/31/2020,3,2020,Mexico-Arizona,"Tomatoes, Grape Type",30
3/31/2020,3,2020,Mexico-Arizona,"Tomatoes, Plum Type",279
3/31/2020,3,2020,Mexico-Arizona,"Watermelons, Seedless",298
3/31/2020,3,2020,Mexico-Arizona,Mangoes,111
3/31/2020,3,2020,Mexico-California,Artichokes,4
3/31/2020,3,2020,Mexico-California,Asparagus,8
3/31/2020,3,2020,Mexico-California,Beets,1
3/31/2020,3,2020,Mexico-California,Broccoli,3
3/31/2020,3,2020,Mexico-California,Brussels Sprouts,42
3/31/2020,3,2020,Mexico-California,Cabbage,3
3/31/2020,3,2020,Mexico-California,Carrots,1
3/31/2020,3,2020,Mexico-California,Celery,5
3/31/2020,3,2020,Mexico-California,Collard Greens,0
3/31/2020,3,2020,Mexico-California,Kale Greens,6
3/31/2020,3,2020,Mexico-California,"Lettuce, Iceberg",2
3/31/2020,3,2020,Mexico-California,"Lettuce, Other",3
3/31/2020,3,2020,Mexico-California,"Lettuce, Romaine",4
3/31/2020,3,2020,Mexico-California,Misc Herbs,3
